wolfCount,wolfEnergy,wolfRepro,wolfFatigue,rabbitCount,rabbitEnergy,rabbitRepro,rabbitFatigue,grassCount,grassEnergy,grassRepro,grassFatigue
452,475.3,1018.3,7.2,156,694.2,920.8,5.5,3774,438.8,130.1,5.9
458,470.7,1018.3,7.2,161,703.3,920.9,5.5,3799,441.1,130.2,5.8
463,472.8,1018.3,7.2,162,706.6,920.9,5.5,3818,443.9,130.2,5.8
467,472.6,1018.2,7.2,165,724.8,920.9,5.5,3839,446.7,130.3,5.8
471,471.4,1018.2,7.2,169,729.2,921.1,5.6,3889,446.6,130.3,5.9
478,465.5,1018.2,7.3,179,729.2,921.1,5.6,3925,447.9,130.3,5.9
488,461.9,1018.2,7.3,187,709.7,921.4,5.6,3956,449.4,130.4,5.9
496,464.8,1018.2,7.3,183,699.2,921.6,5.7,3996,450.5,130.5,5.9
502,468.2,1018.2,7.3,175,716.5,921.8,5.7,4028,451.2,130.5,5.9
520,456.9,1018.3,7.3,159,735.2,922.0,5.7,4105,448.3,130.6,5.9
528,463.4,1018.2,7.3,146,721.2,922.0,5.7,4171,447.8,130.7,6.0
535,459.3,1018.2,7.4,144,719.5,922.1,5.7,4219,449.6,130.8,6.0
539,461.3,1018.3,7.4,140,740.8,922.5,5.7,4284,448.0,130.8,6.0
543,461.3,1018.2,7.4,143,737.0,922.4,5.8,4344,448.6,130.9,6.0
548,457.3,1018.3,7.4,152,735.1,922.6,5.8,4381,450.6,130.9,6.0
551,456.1,1018.2,7.4,164,728.1,923.0,5.9,4413,453.6,130.9,6.0
556,455.4,1018.3,7.4,173,737.2,923.3,6.0,4444,454.1,130.9,6.1
559,458.5,1018.3,7.4,179,747.1,923.5,6.0,4483,454.0,130.9,6.1
567,458.0,1018.3,7.4,188,737.7,923.7,6.1,4496,456.2,131.0,6.1
577,453.9,1018.3,7.5,194,738.3,923.8,6.0,4501,459.6,131.0,6.1
579,459.0,1018.3,7.5,208,729.7,924.4,6.2,4523,460.8,131.0,6.1
586,454.9,1018.3,7.5,226,750.9,924.7,6.2,4500,464.1,131.2,6.1
595,457.2,1018.2,7.5,239,751.5,925.2,6.3,4498,465.5,131.3,6.1
